SIEMBRA,VERDE_ACTUAL,PRECIO_CHACRA,label,prediction
6.0,8.0,1.0,1.0,1.0
0.0,40.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
496.0,3046.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,41.0,0.7,1.0,1.0
0.0,0.0,3.31,1.0,1.0
0.0,9.0,1.9,1.0,1.0
0.0,25.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,32.0,0.0,0.0,0.0
212.0,212.0,3.5,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.6,1.0,1.0
331.0,331.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,35.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,5.0,0.6,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,19.0,0.3,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0
48.0,72.0,1.0,1.0,1.0
0.0,4.0,0.0,0.0,0.0
0.0,0.0,1.5,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,2.0,0.7,1.0,1.0
0.0,324.0,3.31,1.0,1.0
110.0,110.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
26.0,46.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,49.0,1.6,1.0,1.0
164.0,191.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
2.0,5.0,1.0,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,0.0
0.0,4.0,0.3,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,13.0,1.1,1.0,1.0
0.0,13.0,5.0,1.0,1.0
15.0,25.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0,1.0
0.0,9.0,0.0,0.0,0.0
0.0,5.0,1.5,1.0,1.0
0.0,46.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,246.0,3.31,1.0,1.0
26.0,26.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
77.0,77.0,3.2,1.0,1.0
0.0,7.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
194.0,226.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,56.0,0.0,0.0,0.0
3.0,5.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,1.0,0.7,1.0,1.0
0.0,0.0,3.31,1.0,1.0
63.0,183.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
60.0,60.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,3.0,1.6,1.0,1.0
0.0,11.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,107.0,0.0,0.0,0.0
0.0,8.0,0.6,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.3,1.0,1.0
0.0,68.0,1.1,1.0,1.0
8.0,8.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,1.0,0.7,1.0,1.0
0.0,0.0,3.31,1.0,1.0
31.0,31.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
45.0,45.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
245.0,245.0,0.0,0.0,0.0
0.0,5.0,0.6,1.0,1.0
0.0,2.0,0.3,1.0,1.0
0.0,1.0,1.0,1.0,1.0
16.0,16.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
1300.0,1420.0,0.0,0.0,0.0
0.0,109.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,0.0
0.0,60.0,0.0,0.0,0.0
0.0,141.0,1.2,1.0,1.0
180.0,619.0,0.9,1.0,1.0
0.0,4.0,1.0,1.0,1.0
0.0,792.0,2.5,1.0,1.0
0.0,642.0,1.0,1.0,1.0
6.0,8.0,1.0,1.0,1.0
0.0,5.0,0.0,0.0,0.0
0.0,308.0,0.0,0.0,0.0
0.0,10.0,0.6,1.0,1.0
0.0,12.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,38.0,0.8,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0
0.0,71.0,0.0,0.0,0.0
