SIEMBRA,PRODUCCION,VERDE_ACTUAL,label,prediction
0.0,10.0,6.0,0.7,1.4369552134359687
161.0,0.0,161.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,76.0,0.0,1.9,1.8551841028638236
0.0,0.0,30.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0
0.0,5.0,0.0,3.0,2.5351184110007643
0.0,0.0,203.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0
0.0,9.0,2.0,1.2,1.4369552134359687
0.0,215.0,635.0,1.6,1.3215043394406953
11.0,24.0,14.0,1.26,1.4369552134359687
0.0,0.0,619.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0
0.0,0.0,50.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,5.0,35.0,0.6,2.243247033441208
0.0,568.0,125.0,3.28,0.98053425938293
0.0,0.0,16.0,0.0,0.0
0.0,25.0,14.0,0.3,1.4369552134359687
0.0,0.0,1.0,0.0,0.0
0.0,4.0,0.0,2.0,2.5351184110007643
0.0,139.0,140.0,1.0,0.98053425938293
1.0,6.0,1.0,0.8,1.4369552134359687
0.0,0.0,16.0,0.0,0.0
0.0,46.0,0.0,1.5,1.8551841028638236
0.0,0.0,10.0,0.0,0.0
0.0,0.0,291.0,0.0,0.0
0.0,36.0,23.0,0.7,1.1815357900829635
0.0,13.0,0.0,3.31,2.5351184110007643
0.0,0.0,3.0,0.0,0.0
0.0,266.0,0.0,1.9,1.8551841028638236
0.0,0.0,45.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0
0.0,5.0,38.0,3.0,2.243247033441208
0.0,0.0,2.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0
0.0,1.0,1.0,1.0,1.4369552134359687
0.0,102.0,22.0,1.26,1.1815357900829635
0.0,0.0,4.0,0.0,0.0
0.0,0.0,79.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0
0.0,2.0,15.0,0.56,1.4369552134359687
0.0,723.0,144.0,3.28,0.98053425938293
0.0,0.0,7.0,0.0,0.0
0.0,0.0,300.0,0.0,0.0
0.0,110.0,60.0,0.3,1.1815357900829635
0.0,0.0,129.0,0.0,0.0
0.0,36.0,52.0,1.1,1.1815357900829635
0.0,0.0,237.0,0.0,0.0
6.0,84.0,8.0,1.0,1.1815357900829635
0.0,0.0,40.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0
496.0,0.0,3046.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0
0.0,66.0,41.0,0.7,1.1815357900829635
0.0,426.0,0.0,3.31,1.8551841028638236
0.0,304.0,9.0,1.9,0.98053425938293
